EVENT,MATCH_PATTERN,PATTERN_REGEX,REGEX_GROUP_0,REGEX_GROUP_1,URL,REF_DATE,LOG_TIMESTAMP,SLUG_URL,FILE_NAME
CLASSE,XP_2,(?i)classes:\s*([^*]+?)\s*t.rmino,CLASSES:CLASSE UNICATERMINO,CLASSE UNICA,https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_52819_130679_2025_04.pdf#int_pgs_join=3,2025-05-20,2025-05-21 21:13:20.903951+0000,DOC_REGUL_52819_130679_2025_04.pdf,
CNPJ,XP_3,(?i)cnpj\s*n.\s*([^*]+?)\s*..fundo,CNPJ NO 45.087.164/0001-36(FUNDO,45.087.164/0001-36,https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_52819_130679_2025_04.pdf#int_pgs_join=3,2025-05-20,2025-05-21 21:13:20.903951+0000,DOC_REGUL_52819_130679_2025_04.pdf,
CONDOMINIO,XP_1,(?i)condom.nio:\s*([^*]+?)\s*prazo,CONDOMINIO:FECHADOPRAZO,FECHADO,https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_52819_130679_2025_04.pdf#int_pgs_join=3,2025-05-20,2025-05-21 21:13:20.903951+0000,DOC_REGUL_52819_130679_2025_04.pdf,
CONVERSAO_COTA,XP_1,(?i)convers..\s*da\s*cota:\s*([^*]+?)\s*pagamento,CONVERSAO DA COTA:D+0 DIAS UTEIS PAGAMENTO,D+0 DIAS UTEIS,https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_52819_130679_2025_04.pdf#int_pgs_join=3,2025-05-20,2025-05-21 21:13:20.903951+0000,DOC_REGUL_52819_130679_2025_04.pdf,
NOME_FUNDO,XP_1,(?i)instrumento\s*particular\s*de\s*altera..o\s*do\s*regulamento\s*d[o|a]\s*([^*]+?)\s*cnpj,INSTRUMENTO PARTICULAR DE ALTERACAO DO REGULAMENTO DOTIGER GLOBAL INVESTMENTS WHG II FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADOCNPJ,TIGER GLOBAL INVESTMENTS WHG II FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO,https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_52819_130679_2025_04.pdf#int_pgs_join=3,2025-05-20,2025-05-21 21:13:20.903951+0000,DOC_REGUL_52819_130679_2025_04.pdf,
PAGAMENTO,XP_6,(?i)pagamento\s*([^*]+?)\s*taxa,"PAGAMENTOS DAS REMUNERACOES DEVIDAS AOS PRESTADORES DE SERVICOS PODEM SER EFETUADOS DIRETAMENTE PELO FUNDO, NAS FORMAS E PRAZOS ENTRE ELES AJUSTADOS, ATE O LIMITE DE CADA UMA DAS TAXA","S DAS REMUNERACOES DEVIDAS AOS PRESTADORES DE SERVICOS PODEM SER EFETUADOS DIRETAMENTE PELO FUNDO, NAS FORMAS E PRAZOS ENTRE ELES AJUSTADOS, ATE O LIMITE DE CADA UMA DAS",https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_52819_130679_2025_04.pdf#int_pgs_join=3,2025-05-20,2025-05-21 21:13:20.903951+0000,DOC_REGUL_52819_130679_2025_04.pdf,
CLASSE,XP_2,(?i)classes:\s*([^*]+?)\s*t.rmino,CLASSES:CLASSE UNICATERMINO,CLASSE UNICA,https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_46692_130473_2025_04.pdf#int_pgs_join=3,2025-05-20,2025-05-21 21:13:31.564414+0000,DOC_REGUL_46692_130473_2025_04.pdf,
CNPJ,XP_3,(?i)cnpj\s*n.\s*([^*]+?)\s*..fundo,CNPJ NO 40.063.576/0001-12(FUNDO,40.063.576/0001-12,https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_46692_130473_2025_04.pdf#int_pgs_join=3,2025-05-20,2025-05-21 21:13:31.564414+0000,DOC_REGUL_46692_130473_2025_04.pdf,
CONDOMINIO,XP_1,(?i)condom.nio:\s*([^*]+?)\s*prazo,CONDOMINIO:ABERTOPRAZO,ABERTO,https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_46692_130473_2025_04.pdf#int_pgs_join=3,2025-05-20,2025-05-21 21:13:31.564414+0000,DOC_REGUL_46692_130473_2025_04.pdf,
CONVERSAO_COTA,XP_1,(?i)convers..\s*da\s*cota:\s*([^*]+?)\s*pagamento,CONVERSAO DA COTA:D+59 DIAS CORRIDOSPAGAMENTO,D+59 DIAS CORRIDOS,https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_46692_130473_2025_04.pdf#int_pgs_join=3,2025-05-20,2025-05-21 21:13:31.564414+0000,DOC_REGUL_46692_130473_2025_04.pdf,
