INDEX_NAME,INDEX_CODE,URL_INDEX,STATUS,PAGE_POSITION,URL,REF_DATE,LOG_TIMESTAMP,SLUG_URL
AGFS - ÍNDICE AGRONEGÓCIO – FREE FLOAT SETORIAL B3,AGFS,https://maisretorno.com//indice/agfs,operacional,1,https://maisretorno.com/lista-indices/page/1#source=avl_indexes,2025-05-16,2025-05-19 14:22:56.789539+0000,1
BDRX - ÍNDICE DE BDR NÃO PATROCINADO - GLOBAL,BDRX,https://maisretorno.com//indice/bdrx,operacional,2,https://maisretorno.com/lista-indices/page/1#source=avl_indexes,2025-05-16,2025-05-19 14:22:56.789539+0000,1
CDI,CDI,https://maisretorno.com//indice/cdi,operacional,3,https://maisretorno.com/lista-indices/page/1#source=avl_indexes,2025-05-16,2025-05-19 14:22:56.789539+0000,1
DÓLAR,Dólar PTAX Venda,https://maisretorno.com//indice/dolar,operacional,4,https://maisretorno.com/lista-indices/page/1#source=avl_indexes,2025-05-16,2025-05-19 14:22:56.789539+0000,1
GPTW - ÍNDICE GPTW B3,GPTW,https://maisretorno.com//indice/gptw,operacional,5,https://maisretorno.com/lista-indices/page/1#source=avl_indexes,2025-05-16,2025-05-19 14:22:56.789539+0000,1
IBBR - ÍNDICE BOVESPA B3 BR+,IBBR,https://maisretorno.com//indice/ibbr,operacional,6,https://maisretorno.com/lista-indices/page/1#source=avl_indexes,2025-05-16,2025-05-19 14:22:56.789539+0000,1
IBHB - ÍNDICE BOVESPA SMART HIGH BETA B3,IBHB,https://maisretorno.com//indice/ibhb,operacional,7,https://maisretorno.com/lista-indices/page/1#source=avl_indexes,2025-05-16,2025-05-19 14:22:56.789539+0000,1
IBLV - IBOV SMART LOW VOL B3,IBLV,https://maisretorno.com//indice/iblv,operacional,8,https://maisretorno.com/lista-indices/page/1#source=avl_indexes,2025-05-16,2025-05-19 14:22:56.789539+0000,1
IBOVESPA USD,IBOVESPA Dolarizado,https://maisretorno.com//indice/ibov-usd,operacional,9,https://maisretorno.com/lista-indices/page/1#source=avl_indexes,2025-05-16,2025-05-19 14:22:56.789539+0000,1
IBOV - INDICE BOVESPA,Ibovespa,https://maisretorno.com//indice/ibov,operacional,10,https://maisretorno.com/lista-indices/page/1#source=avl_indexes,2025-05-16,2025-05-19 14:22:56.789539+0000,1
