CNPJ,INSTRUMENT_CODE,INSTRUMENT_NAME,URL_INSTRUMENT,SEGMENT,SECTOR,INSTRUMENTS_CLASS,PAGE_POSITION,URL,REF_DATE,LOG_TIMESTAMP,SLUG_URL
40.502.607/0001-94,BDIF11,BTG PACTUAL DÍVIDA INFRA FIC. FDO. INC. IE. RF. CP,https://maisretorno.com//fi-infra/bdif11,-,-,lista-fi-infra,1,https://maisretorno.com/lista-fi-infra/page/1#source=avl_instruments,2025-05-16,2025-05-19 09:34:29.196936+0000,1
42.294.971/0001-31,BIDB11,INTER INFRA FIC INFRA RENDA FIXA CRÉDITO PRIVADO,https://maisretorno.com//fi-infra/bidb11,-,-,lista-fi-infra,2,https://maisretorno.com/lista-fi-infra/page/1#source=avl_instruments,2025-05-16,2025-05-19 09:34:29.196936+0000,1
55.239.865/0001-05,BINC11,BRADESCO FIC DE FI FIN RF INV IE CDI RF CP RES LIM,https://maisretorno.com//fi-infra/binc11,-,-,lista-fi-infra,3,https://maisretorno.com/lista-fi-infra/page/1#source=avl_instruments,2025-05-16,2025-05-19 09:34:29.196936+0000,1
41.771.670/0001-99,BODB11,BOCAINA INFRA - FDO INV COTAS FDO INV INFRA RF CP,https://maisretorno.com//fi-infra/bodb11,-,-,lista-fi-infra,4,https://maisretorno.com/lista-fi-infra/page/1#source=avl_instruments,2025-05-16,2025-05-19 09:34:29.196936+0000,1
48.973.783/0001-16,CDII11,SPARTA INFRA CDI FIC FI INFRA RENDA FIXA CP,https://maisretorno.com//fi-infra/cdii11,-,-,lista-fi-infra,5,https://maisretorno.com/lista-fi-infra/page/1#source=avl_instruments,2025-05-16,2025-05-19 09:34:29.196936+0000,1
38.065.012/0001-77,CPTI11,CAPITÂNIA INFRA FDO. INV. FDO. IE. RF. CRED. PRIV.,https://maisretorno.com//fi-infra/cpti11,-,-,lista-fi-infra,6,https://maisretorno.com/lista-fi-infra/page/1#source=avl_instruments,2025-05-16,2025-05-19 09:34:29.196936+0000,1
58.390.457/0001-30,DIVS11,SPARTA INFRA INFLAÇÃO LONGA FI COTAS FI INFRA E RE,https://maisretorno.com//fi-infra/divs11,-,-,lista-fi-infra,7,https://maisretorno.com/lista-fi-infra/page/1#source=avl_instruments,2025-05-16,2025-05-19 09:34:29.196936+0000,1
54.803.944/0001-26,EXIF11,ÉXES FIC FI INFRA RENDA FIXA PRIVADO LONGO PRAZO,https://maisretorno.com//fi-infra/exif11,-,-,lista-fi-infra,8,https://maisretorno.com/lista-fi-infra/page/1#source=avl_instruments,2025-05-16,2025-05-19 09:34:29.196936+0000,1
34.633.510/0001-18,IFRA11,ITAÚ FIF - CIC FIF INCEN EM INFRA RF CRED PRIV - R,https://maisretorno.com//fi-infra/ifra11,-,-,lista-fi-infra,9,https://maisretorno.com/lista-fi-infra/page/1#source=avl_instruments,2025-05-16,2025-05-19 09:34:29.196936+0000,1
53.556.099/0001-79,IFRI11,ITAÚ FIC FI INVEST FINAN INFRA CDI RF CRED PRIV,https://maisretorno.com//fi-infra/ifri11,-,-,lista-fi-infra,10,https://maisretorno.com/lista-fi-infra/page/1#source=avl_instruments,2025-05-16,2025-05-19 09:34:29.196936+0000,1
54.810.341/0001-51,INFB11,DRYS FDO INV EM COTAS DE FDO INC DE INV INFRA RF,https://maisretorno.com//fi-infra/infb11,-,-,lista-fi-infra,11,https://maisretorno.com/lista-fi-infra/page/1#source=avl_instruments,2025-05-16,2025-05-19 09:34:29.196936+0000,1
55.940.336/0001-26,IRIF11,IRIDIUM INFRA FUN DE INV EM COTAS DE FUN INCENT,https://maisretorno.com//fi-infra/irif11,-,-,lista-fi-infra,12,https://maisretorno.com/lista-fi-infra/page/1#source=avl_instruments,2025-05-16,2025-05-19 09:34:29.196936+0000,1
55.276.939/0001-75,JMBI11,JIVEMAUÁ BOSSANOVA F. DE IN. EM C. DE F. INC.,https://maisretorno.com//fi-infra/jmbi11,-,-,lista-fi-infra,13,https://maisretorno.com/lista-fi-infra/page/1#source=avl_instruments,2025-05-16,2025-05-19 09:34:29.196936+0000,1
42.730.834/0001-00,JURO11,SPARTA INFRA FIC FI INFRA RENDA FIXA CP,https://maisretorno.com//fi-infra/juro11,-,-,lista-fi-infra,14,https://maisretorno.com/lista-fi-infra/page/1#source=avl_instruments,2025-05-16,2025-05-19 09:34:29.196936+0000,1
