NICKNAME,FUND_NAME,BL_POOL_OPEN,BL_QUALIFIED_INVESTOR,BL_EXCLUSIVE_FUND,BL_LONG_TERM_TAXATION,BL_PENSION_FUND,CNPJ,BENCHMARK,FUND_INITIAL_DATE,FUND_TYPE,ADMINISTRATOR,CLASS,SUBCLASS,MANAGER,RENTABILITY_LTM,AUM,AVERAGE_AUM_LTM,VOLATILITY_LTM,SHARPE_LTM,QTY_UNITHOLDERS,MANAGER_FULL_NAME,MANAGER_DIRECTOR,MANAGER_EMAIL,MANAGER_TELEPHONE,MINIMUM_INVESTMENT_AMOUNT,MINIMUM_BALANCE_REQUIRED,ADMINISTRATION_FEE,ADMINISTRATION_FEE_MAX,PERFORMANCE_FEE,FUND_QUOTATION_PERIOD,FUND_SETTLEMENT_PERIOD,URL,REF_DATE,LOG_TIMESTAMP,SLUG_URL
AASL FIA,AASL FUNDO DE INVESTIMENTO EM AÇÕES,True,False,True,False,False,50.142.383/0001-00,Não se aplica,2023-05-09,--,BTG PACTUAL SERVIÇOS FINANCEIROS,Ações,Investimento no Exterior,BTG PACTUAL WM GESTÃO DE RECURSOS,-0.11560000000000001,"R$ 11,04 mi","R$ 10,74 mi",0.2227,-1.05,1,BTG PACTUAL WM GESTÃO DE RECURSOS LTDA,Rafael De Almeida Mazzer,ol-reguladores@btgpactual.com,33832000,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999,-99999,https://maisretorno.com/fundo/aasl-fia#source=fund_properties,2025-05-16,2025-05-18 22:59:03.741850+0000,aasl-fia
SPX FALCON 2 FIF CIC AÇÕES RL,SPX FALCON 2 FIF CIC EM AÇÕES RESPONSABILIDADE LIMITADA,True,True,False,False,False,42.902.399/0001-46,IPCA,2022-09-12,FC,INTRAG,Ações,Ativos Livre,SPX GESTÃO DE RECURSOS,0.2306,"R$ 836,34 mi","R$ 630,25 mi",0.10869999999999999,1.07,3 mil,SPX GESTÃO DE RECURSOS LTDA,Leonardo De Andrade Linhares,legal.br@spxcapital.com,32031900,5000.0,-99999.0,0.006999999999999999,0.006999999999999999,-99999.0,DC + 30,DC + 32,https://maisretorno.com/fundo/spx-falcon-2-fif-cic-acoes-rl#source=fund_properties,2025-05-16,2025-05-18 22:59:49.588406+0000,spx-falcon-2-fif-cic-acoes-rl
ABN AMRO AS APLIACAÇÃO COTAS FI FINANCEIRO,ABN AMRO AS FUNDO DE APLIACAÇÃO EM QUOTAS DE FUNDOS DE INVESTIMENTO FINANCEIRO,False,False,False,False,False,03.515.435/0001-67,--,2004-04-01,--,--,--,--,-99999,-99999.0,"R$ 43,51 mil","R$ 68,31 mil",-99999.0,-99999.0,10,-,-,-,-,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999,-99999,https://maisretorno.com/fundo/abn-amro-as-apliacacao-cotas-fi-financeiro#source=fund_properties,2025-05-16,2025-05-18 23:02:37.541377+0000,abn-amro-as-apliacacao-cotas-fi-financeiro
ABN AMRO AS APLICAÇÃO COTAS FI FINANCEIRO HEMATITA,ABN AMRO AS FUNDO DE APLICAÇÃO EM QUOTAS DE FUNDOS DE INVESTIMENTO FINANCEIRO HEMATITA,False,False,False,False,False,05.509.415/0001-09,--,2004-04-01,--,--,--,--,-99999,-99999.0,"R$ 367,26 mil","R$ 4,57 mi",-99999.0,-99999.0,20,-,-,-,-,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999,-99999,https://maisretorno.com/fundo/abn-amro-as-aplicacao-cotas-fi-financeiro-hematita#source=fund_properties,2025-05-16,2025-05-18 23:05:24.052225+0000,abn-amro-as-aplicacao-cotas-fi-financeiro-hematita
ABN AMRO AS APLICAÇÃO COTAS FI MARCONI,ABN AMRO AS FUNDO DE APLICAÇÃO EM QUOTAS DE FUNDOS DE INVESTIMENTO MARCONI,False,False,False,False,False,03.765.629/0001-10,--,2004-04-01,--,--,--,--,-99999,-99999.0,"R$ 2,27 mi","R$ 2,78 mi",-99999.0,-99999.0,1,-,-,-,-,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999,-99999,https://maisretorno.com/fundo/abn-amro-as-aplicacao-cotas-fi-marconi#source=fund_properties,2025-05-16,2025-05-18 23:08:10.001520+0000,abn-amro-as-aplicacao-cotas-fi-marconi
ABN AMRO AS FIC FIM 4E,ABN AMRO AS FUNDO DE INVESTIMENTO EM QUOTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO 4E,True,False,False,True,False,08.537.846/0001-77,CDI,2007-04-20,--,BANCO ABN AMRO REAL,Multimercado,--,SANTANDER BRASIL ASSET MANAGEMENT,-99999.0,"R$ 53,28 mil","R$ 10,42 mi",-99999.0,-99999.0,1,SANTANDER BRASIL ASSET MANAGEMENT S.A.,-,lartioli@santander.com.br,41309218,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999,-99999,https://maisretorno.com/fundo/abn-amro-as-fic-fim-4e#source=fund_properties,2025-05-16,2025-05-18 23:08:54.718083+0000,abn-amro-as-fic-fim-4e
051 MHX RV FI FINANCEIRO MULTIMERCADO CP RL,051 MHX RV FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO RESP LIMITADA,True,False,True,False,False,58.877.803/0001-09,CDI,2025-01-27,--,INTRAG,Multimercado,Investimento no Exterior,ZERO CINCO UM CAPITAL GESTÃO DE RECURSOS,-99999.0,"R$ 246,93 mi","R$ 226,76 mi",-99999.0,-99999.0,1,ZERO CINCO UM CAPITAL GESTÃO DE RECURSOS LTDA,Luciano Brochmann,gestao@051capital.com,30053721,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999,-99999,https://maisretorno.com/fundo/051-mhx-rv-fi-financeiro-multimercado-cp-rl#source=fund_properties,2025-05-16,2025-05-18 23:09:41.287154+0000,051-mhx-rv-fi-financeiro-multimercado-cp-rl
051 MM HV FIC FIM CP IE,051 MM HV FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO - CRED PRIV IE,True,False,False,True,False,32.683.890/0001-70,CDI,2019-10-30,FM,CREDIT SUISSE HEDGING GRIFFO CORRETORA DE VALORES,Multimercado,Investimento no Exterior,ZERO CINCO UM CAPITAL GESTÃO DE RECURSOS,0.1668,"R$ 15,00 mi","R$ 14,44 mi",0.0735,2.01,3,ZERO CINCO UM CAPITAL GESTÃO DE RECURSOS LTDA,Luciano Brochmann,gestao@051capital.com,30053721,500000.0,-99999.0,0.0012,0.0012,-99999.0,-99999,-99999,https://maisretorno.com/fundo/051-mm-hv-fic-fim-cp-ie#source=fund_properties,2025-05-16,2025-05-18 23:10:26.371993+0000,051-mm-hv-fic-fim-cp-ie
051 PE I FI FINANCEIRO MULTIMERCADO,051 PE I FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO,False,False,False,False,False,53.294.226/0001-09,Não se aplica,2024-03-20,--,BTG PACTUAL SERVIÇOS FINANCEIROS,Multimercado,Investimento no Exterior,ZERO CINCO UM CAPITAL GESTÃO DE RECURSOS,-0.214,"R$ 40,57 mi","R$ 46,93 mi",0.19329999999999997,-1.72,10,ZERO CINCO UM CAPITAL GESTÃO DE RECURSOS LTDA,Luciano Brochmann,gestao@051capital.com,30053721,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,DU + 0,DU + 5,https://maisretorno.com/fundo/051-pe-i-fi-financeiro-multimercado#source=fund_properties,2025-05-16,2025-05-18 23:11:12.762037+0000,051-pe-i-fi-financeiro-multimercado
ZURICH BNPP ZV 1 FIM PREVIDENCIÁRIO,ZURICH BNPP ZV 1 FI MULTIMERCADO PREVIDENCIÁRIO,True,False,True,False,True,20.429.079/0001-88,Não se aplica,2015-06-24,--,CITIBANK,Multimercado,--,BNP PARIBAS ASSET MANAGEMENT BRASIL,0.14980000000000002,"R$ 726,21 mil","R$ 764,85 mil",0.061799999999999994,0.17,1,BNP PARIBAS ASSET MANAGEMENT BRASIL LTDA,Gilberto Kfouri Junior,relacionamento.reguladores@br.bnpparibas.com,30492840,-99999.0,-99999.0,0.019,0.019,-99999.0,-99999,-99999,https://maisretorno.com/fundo/zurich-bnpp-zv-1-fim-previdenciario#source=fund_properties,2025-05-16,2025-05-18 23:11:57.373869+0000,zurich-bnpp-zv-1-fim-previdenciario
