YEAR,INSTRUMENT,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,YTD,SINCE_INCEPTION,URL,REF_DATE,LOG_TIMESTAMP,SLUG_URL
2025,CDI,0.0101,0.0099,0.0096,0.0106,0.0059,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0.0469,88.9873,https://maisretorno.com/indice/cdi#source=instruments_historical_rentability,2025-05-19,2025-05-20 09:03:53.705046+0000,cdi
2024,CDI,0.0097,0.008,0.0083,0.0089,0.0083,0.0079,0.0091,0.0087,0.0083,0.0093,0.0079,0.0093,0.1087,84.9593,https://maisretorno.com/indice/cdi#source=instruments_historical_rentability,2025-05-19,2025-05-20 09:03:53.705046+0000,cdi
2023,CDI,0.0112,0.0092,0.0117,0.0092,0.0112,0.0107,0.0107,0.0114,0.0097,0.01,0.0092,0.009,0.1305,76.5288,https://maisretorno.com/indice/cdi#source=instruments_historical_rentability,2025-05-19,2025-05-20 09:03:53.705046+0000,cdi
2022,CDI,0.0073,0.0075,0.0092,0.0083,0.0103,0.0101,0.0103,0.0117,0.0107,0.0102,0.0102,0.0112,0.1237,67.5808,https://maisretorno.com/indice/cdi#source=instruments_historical_rentability,2025-05-19,2025-05-20 09:03:53.705046+0000,cdi
2021,CDI,0.0015,0.0013,0.002,0.0021,0.0027,0.003,0.0036,0.0042,0.0044,0.0048,0.0059,0.0076,0.044,60.0297,https://maisretorno.com/indice/cdi#source=instruments_historical_rentability,2025-05-19,2025-05-20 09:03:53.705046+0000,cdi
2020,CDI,0.0038,0.0029,0.0034,0.0028,0.0024,0.0022,0.0019,0.0016,0.0016,0.0016,0.0015,0.0016,0.0277,57.4602,https://maisretorno.com/indice/cdi#source=instruments_historical_rentability,2025-05-19,2025-05-20 09:03:53.705046+0000,cdi
2019,CDI,0.0054,0.0049,0.0047,0.0052,0.0054,0.0047,0.0057,0.005,0.0047,0.0048,0.0038,0.0038,0.0597,55.8858,https://maisretorno.com/indice/cdi#source=instruments_historical_rentability,2025-05-19,2025-05-20 09:03:53.705046+0000,cdi
2018,CDI,0.0058,0.0047,0.0053,0.0052,0.0052,0.0052,0.0054,0.0057,0.0047,0.0054,0.0049,0.0049,0.0642,52.6821,https://maisretorno.com/indice/cdi#source=instruments_historical_rentability,2025-05-19,2025-05-20 09:03:53.705046+0000,cdi
2017,CDI,0.0109,0.0087,0.0105,0.0079,0.0093,0.0081,0.008,0.008,0.0064,0.0065,0.0057,0.0054,0.0995,49.4421,https://maisretorno.com/indice/cdi#source=instruments_historical_rentability,2025-05-19,2025-05-20 09:03:53.705046+0000,cdi
2016,CDI,0.0105,0.01,0.0116,0.0105,0.0111,0.0116,0.0111,0.0121,0.0111,0.0105,0.0104,0.0112,0.14,44.8764,https://maisretorno.com/indice/cdi#source=instruments_historical_rentability,2025-05-19,2025-05-20 09:03:53.705046+0000,cdi
2015,CDI,0.0093,0.0082,0.0103,0.0095,0.0098,0.0106,0.0118,0.0111,0.0111,0.0111,0.0106,0.0116,0.1323,39.2421,https://maisretorno.com/indice/cdi#source=instruments_historical_rentability,2025-05-19,2025-05-20 09:03:53.705046+0000,cdi
2014,CDI,0.0084,0.0078,0.0076,0.0081,0.0086,0.0082,0.0094,0.0086,0.009,0.0094,0.0084,0.0095,0.1081,34.5404,https://maisretorno.com/indice/cdi#source=instruments_historical_rentability,2025-05-19,2025-05-20 09:03:53.705046+0000,cdi
2013,CDI,0.0059,0.0048,0.0054,0.006,0.0058,0.0059,0.0071,0.0069,0.007,0.008,0.0071,0.0078,0.0805,31.0742,https://maisretorno.com/indice/cdi#source=instruments_historical_rentability,2025-05-19,2025-05-20 09:03:53.705046+0000,cdi
2012,CDI,0.0089,0.0074,0.0081,0.007,0.0073,0.0064,0.0068,0.0069,0.0054,0.0061,0.0054,0.0053,0.0841,28.6837,https://maisretorno.com/indice/cdi#source=instruments_historical_rentability,2025-05-19,2025-05-20 09:03:53.705046+0000,cdi
2011,CDI,0.0086,0.0084,0.0092,0.0084,0.0099,0.0095,0.0097,0.0107,0.0094,0.0088,0.0086,0.0091,0.1159,26.3802,https://maisretorno.com/indice/cdi#source=instruments_historical_rentability,2025-05-19,2025-05-20 09:03:53.705046+0000,cdi
2010,CDI,0.0066,0.0059,0.0076,0.0066,0.0075,0.0079,0.0086,0.0089,0.0084,0.0081,0.0081,0.0093,0.0974,23.5354,https://maisretorno.com/indice/cdi#source=instruments_historical_rentability,2025-05-19,2025-05-20 09:03:53.705046+0000,cdi
2009,CDI,0.0105,0.0085,0.0097,0.0084,0.0077,0.0076,0.0079,0.0069,0.0069,0.0069,0.0066,0.0072,0.099,21.3572,https://maisretorno.com/indice/cdi#source=instruments_historical_rentability,2025-05-19,2025-05-20 09:03:53.705046+0000,cdi
2008,CDI,0.0092,0.008,0.0084,0.009,0.0087,0.0095,0.0106,0.0101,0.011,0.0117,0.01,0.0111,0.1237,19.3439,https://maisretorno.com/indice/cdi#source=instruments_historical_rentability,2025-05-19,2025-05-20 09:03:53.705046+0000,cdi
2007,CDI,0.0108,0.0087,0.0105,0.0094,0.0102,0.009,0.0097,0.0099,0.008,0.0092,0.0084,0.0084,0.1182,17.1044,https://maisretorno.com/indice/cdi#source=instruments_historical_rentability,2025-05-19,2025-05-20 09:03:53.705046+0000,cdi
2006,CDI,0.0143,0.0114,0.0142,0.0108,0.0128,0.0118,0.0117,0.0125,0.0105,0.0109,0.0102,0.0098,0.1505,15.1901,https://maisretorno.com/indice/cdi#source=instruments_historical_rentability,2025-05-19,2025-05-20 09:03:53.705046+0000,cdi
2005,CDI,0.0138,0.0121,0.0152,0.0141,0.015,0.0158,0.0151,0.0165,0.015,0.0141,0.0138,0.0147,0.19,13.0727,https://maisretorno.com/indice/cdi#source=instruments_historical_rentability,2025-05-19,2025-05-20 09:03:53.705046+0000,cdi
