,INSTRUMENT,STATISTIC,YTD,MTD,LTM,L_24M,L_36M,L_48M,L_60M,SINCE_INCEPTION,URL,REF_DATE,LOG_TIMESTAMP,SLUG_URL
0,CDI,RENTABILIDADE,0.0469,0.0059,0.1157,0.2516,0.4198,0.5267,0.5596,88.9873,https://maisretorno.com/indice/cdi#source=instruments_stats,2025-05-19,2025-05-20 11:18:51.732752+0000,cdi
1,CDI,VOLATILIDADE,0.0005,0.0001,0.0008,0.0007,0.0007,0.0016,0.0026,0.0061,https://maisretorno.com/indice/cdi#source=instruments_stats,2025-05-19,2025-05-20 11:18:51.732752+0000,cdi
2,CDI,ÍNDICE DE SHARPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://maisretorno.com/indice/cdi#source=instruments_stats,2025-05-19,2025-05-20 11:18:51.732752+0000,cdi
3,DOLAR,RENTABILIDADE,-0.0861,-0.0003,0.1078,0.143,0.1602,0.0697,-0.0066,5.0203,https://maisretorno.com/indice/dolar#source=instruments_stats,2025-05-19,2025-05-20 11:19:36.434999+0000,dolar
4,DOLAR,VOLATILIDADE,0.1279,0.1166,0.1262,0.114,0.1283,0.1309,0.1441,0.1456,https://maisretorno.com/indice/dolar#source=instruments_stats,2025-05-19,2025-05-20 11:19:36.434999+0000,dolar
5,DOLAR,ÍNDICE DE SHARPE,-2.73,-1.18,-0.06,-0.44,-0.57,-0.73,-0.66,-0.67,https://maisretorno.com/indice/dolar#source=instruments_stats,2025-05-19,2025-05-20 11:19:36.434999+0000,dolar
6,BDRX,RENTABILIDADE,-0.0949,0.0713,0.2735,0.7919,0.9116,0.7156,1.2152,13.2109,https://maisretorno.com/indice/bdrx#source=instruments_stats,2025-05-19,2025-05-20 11:20:22.988900+0000,bdrx
7,BDRX,VOLATILIDADE,0.2826,0.216,0.2234,0.1866,0.2093,0.2069,0.211,0.1909,https://maisretorno.com/indice/bdrx#source=instruments_stats,2025-05-19,2025-05-20 11:20:22.988900+0000,bdrx
8,BDRX,ÍNDICE DE SHARPE,-1.32,17.12,0.72,1.2,0.57,0.16,0.38,0.74,https://maisretorno.com/indice/bdrx#source=instruments_stats,2025-05-19,2025-05-20 11:20:22.988900+0000,bdrx
9,GPTW,RENTABILIDADE,0.3108,0.0252,0.0528,0.1162,-0.0003,-99999.0,-99999.0,-0.012,https://maisretorno.com/indice/gptw#source=instruments_stats,2025-05-19,2025-05-20 11:21:05.920531+0000,gptw
10,GPTW,VOLATILIDADE,0.2274,0.1897,0.2102,0.2074,0.2303,-99999.0,-99999.0,0.2353,https://maisretorno.com/indice/gptw#source=instruments_stats,2025-05-19,2025-05-20 11:21:05.920531+0000,gptw
11,GPTW,ÍNDICE DE SHARPE,4.24,3.28,-0.3,-0.3,-0.54,-99999.0,-99999.0,-0.54,https://maisretorno.com/indice/gptw#source=instruments_stats,2025-05-19,2025-05-20 11:21:05.920531+0000,gptw
12,IBBR,RENTABILIDADE,0.1554,0.0346,0.0899,0.3176,0.3287,0.1303,0.8104,0.2007,https://maisretorno.com/indice/ibbr#source=instruments_stats,2025-05-19,2025-05-20 11:21:48.953146+0000,ibbr
13,IBBR,VOLATILIDADE,0.1827,0.1426,0.1553,0.1473,0.1737,0.1792,0.1904,0.254,https://maisretorno.com/indice/ibbr#source=instruments_stats,2025-05-19,2025-05-20 11:21:48.953146+0000,ibbr
14,IBBR,ÍNDICE DE SHARPE,1.93,7.35,-0.17,0.2,-0.14,-0.45,0.18,-0.22,https://maisretorno.com/indice/ibbr#source=instruments_stats,2025-05-19,2025-05-20 11:21:48.953146+0000,ibbr
15,IBHB,RENTABILIDADE,0.2916,0.0267,-0.0529,-0.0947,-0.2089,-0.4217,0.0574,1.2,https://maisretorno.com/indice/ibhb#source=instruments_stats,2025-05-19,2025-05-20 11:22:33.282974+0000,ibhb
16,IBHB,VOLATILIDADE,0.3282,0.3223,0.308,0.286,0.3095,0.3077,0.3039,0.3308,https://maisretorno.com/indice/ibhb#source=instruments_stats,2025-05-19,2025-05-20 11:22:33.282974+0000,ibhb
17,IBHB,ÍNDICE DE SHARPE,2.68,2.12,-0.56,-0.59,-0.65,-0.79,-0.27,-0.18,https://maisretorno.com/indice/ibhb#source=instruments_stats,2025-05-19,2025-05-20 11:22:33.282974+0000,ibhb
18,IBLV,RENTABILIDADE,0.2112,0.0162,0.1284,0.2486,0.2653,0.3126,0.8247,20.7953,https://maisretorno.com/indice/iblv#source=instruments_stats,2025-05-19,2025-05-20 11:23:18.019783+0000,iblv
19,IBLV,VOLATILIDADE,0.1517,0.127,0.1394,0.1311,0.1463,0.1486,0.1581,0.1992,https://maisretorno.com/indice/iblv#source=instruments_stats,2025-05-19,2025-05-20 11:23:18.019783+0000,iblv
20,IBLV,ÍNDICE DE SHARPE,3.66,2.37,0.09,-0.01,-0.29,-0.28,0.22,0.18,https://maisretorno.com/indice/iblv#source=instruments_stats,2025-05-19,2025-05-20 11:23:18.019783+0000,iblv
21,IBOV-USD,RENTABILIDADE,0.2588,0.0248,-0.0239,0.106,0.1165,0.0492,0.8358,5.4187,https://maisretorno.com/indice/ibov-usd#source=instruments_stats,2025-05-19,2025-05-20 11:24:04.950718+0000,ibov-usd
22,IBOV-USD,VOLATILIDADE,0.2357,0.2382,0.2231,0.2149,0.2529,0.2571,0.2741,0.3836,https://maisretorno.com/indice/ibov-usd#source=instruments_stats,2025-05-19,2025-05-20 11:24:04.950718+0000,ibov-usd
23,IBOV-USD,ÍNDICE DE SHARPE,3.15,2.55,-0.64,-0.32,-0.35,-0.39,0.13,-0.25,https://maisretorno.com/indice/ibov-usd#source=instruments_stats,2025-05-19,2025-05-20 11:24:04.950718+0000,ibov-usd
24,IBOV,RENTABILIDADE,0.1572,0.0305,0.0861,0.2716,0.2794,0.1322,0.7947,37.8705,https://maisretorno.com/indice/ibov#source=instruments_stats,2025-05-19,2025-05-20 11:24:49.775803+0000,ibov
25,IBOV,VOLATILIDADE,0.175,0.1496,0.151,0.1462,0.1723,0.1784,0.1897,0.3207,https://maisretorno.com/indice/ibov#source=instruments_stats,2025-05-19,2025-05-20 11:24:49.775803+0000,ibov
26,IBOV,ÍNDICE DE SHARPE,2.04,5.66,-0.2,0.06,-0.23,-0.45,0.17,-0.1,https://maisretorno.com/indice/ibov#source=instruments_stats,2025-05-19,2025-05-20 11:24:49.775803+0000,ibov
